id,name,age,blood,ss,allergy,ailments,medications
1,Carter Noahson,85,AB+,178-21-0513,Eggs,{},{8;2;6;4}
2,Andrea Isabellason,22,AB+,673-74-9001,Pollen,{11},{1;7;8;5}
3,Ava Chloeson,85,B-,156-81-0723,Dust,{2;6},{}
4,Camille Chloeson,15,O+,739-38-9021,Grass,{2},{7;4;1}
5,Sofia Masonson,45,O+,647-38-6900,Pollen,{6;10;3},{}
6,Sofia Alexson,81,A+,409-73-2079,Wheat,{3;7},{1}
7,Jackson Emilyson,86,B+,663-22-2164,Weeds,{},{1;6}
8,Jayden Emmason,11,O+,847-74-7122,Grass,{},{6;7}
9,Ben Jackson,96,O-,449-04-9464,Peanuts,{1;11},{6;4;3;7}
10,Aiden Alexson,49,AB+,630-59-1447,Eggs,{7},{}
11,Emma Amandason,66,B-,075-68-2543,Weeds,{5},{3;1}
12,Logan Jackson,93,AB-,724-34-8135,Wheat,{1;10;4},{2}
13,Isabella Isabellason,62,A+,238-59-5815,Soy,{},{4;5}
14,Liam Camilleson,92,AB-,208-01-7241,Eggs,{5;11;4},{5}
15,Olivia Isabellason,39,AB-,677-21-1311,Weeds,{},{6}
16,Noah Jacobson,85,B+,070-25-7652,Dust,{8;11},{5;8;1}
17,Amanda Jackson,32,O-,542-85-5818,Soy,{12},{7;1}
18,Mason Jacobson,14,AB+,902-53-1856,Eggs,{9;1;8},{5;1;4}
19,Logan Emmason,26,AB-,546-36-0111,n/a,{12},{8;3}
20,Jackson Victoriason,66,O+,274-16-9180,Fish,{6;2;3},{4}
21,Logan Emilyson,98,A-,468-97-6194,Wheat,{10;9},{}
22,Emma Emilyson,93,O+,350-11-6976,Milk,{},{}
23,Lucas Jaydenson,12,O-,972-94-7101,Eggs,{4},{5;2}
24,Ben Jaydenson,28,B-,099-87-4692,Grass,{7},{7;3;4;6}
25,Ava Jacobson,90,A+,698-60-6477,Peanuts,{7},{8;6;5}
26,Sofia Liamson,84,AB+,539-55-0217,Pollen,{11;2},{3;5}
27,Jacob Camilleson,57,AB+,122-13-9131,n/a,{},{5;6}
28,Logan Jackson,81,B+,720-41-1773,Mold,{5;1;6},{3;5}
29,Liam Lucasson,32,B+,708-63-5349,Pollen,{2},{3;8;5}
30,Ben Oliviason,21,B-,996-50-6818,Eggs,{},{2;4;5}
31,Olivia Jaydenson,51,A+,691-56-8470,Tree nuts,{1;5},{4}
32,Sofia Avason,16,O+,228-12-0395,Tree nuts,{},{2;1}
33,Maya Amandason,15,O-,769-76-5385,Soy,{12;11;3},{7;5;1}
34,Logan Emmason,40,B+,960-45-4610,Tree nuts,{},{}
35,Andrea Avason,49,O+,577-34-0221,Wheat,{7;5;2},{1;4;8}
36,Emma Jaydenson,51,B-,269-05-4226,Fish,{},{7;1;2;6}
37,Camille Ethanson,13,A+,138-48-7945,Weeds,{12;9},{2;5;3;1}
